cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
17147777084166,Banco Nacional S/A,940064,Revista de Cinema,RJ,92242.63,1994
35828763000100,Concal Carbureto de Cálcio Ltda.,940018,História da Vida Privada Brasileira,SP,12888.44,1994
34274233000102,VIBRA ENERGIA S.A,920160,Guarani (0),RJ,85000.0,1994
34274233000102,VIBRA ENERGIA S.A,940095,Foolish Heart,SP,85000.0,1994
40440539000186,M.J. Bezerra de Araujo Editora Ltda.,921173,Brasil 94 - Frankfurt Book Fair,SP,256.5,1994
42598367000107,Ao Livro Técnico Indústria e Comércio Ltda,921173,Brasil 94 - Frankfurt Book Fair,SP,426.5,1994
33131541000108,Companhia Brasileira de Metalurgia e Mineração ,940095,Foolish Heart,SP,42500.0,1994
33254319000100,HSBC Investment Bank Brasil S.A - Banco de Investimento,930424,Casa de Cultura de Israel,SP,16560.0,1994
33274515000139,Intergráfica S.A Máquinas Impressoras,921173,Brasil 94 - Frankfurt Book Fair,SP,81880.0,1994
43003409000174,Cortez Editora e Livraria Ltda.,921173,Brasil 94 - Frankfurt Book Fair,SP,423.0,1994
49940679000198,LCTE Livraria Ltda,921173,Brasil 94 - Frankfurt Book Fair,SP,274.5,1994
54972195000160,Makron Books do Brasil Editora Ltda,921173,Brasil 94 - Frankfurt Book Fair,SP,5000.0,1994
60500139000126,Saraiva S/A. Livreiros Editores,921173,Brasil 94 - Frankfurt Book Fair,SP,20000.0,1994
61186490000157,Editora FTD S/A,921173,Brasil 94 - Frankfurt Book Fair,SP,20000.0,1994
61259958000196,Editora Atica S/A;,921173,Brasil 94 - Frankfurt Book Fair,SP,20000.0,1994
61365284000104,Siciliano S.A,921173,Brasil 94 - Frankfurt Book Fair,SP,20000.0,1994
61485579000114,EPU - Editora Pedagógica e Universitária LTDA.,921173,Brasil 94 - Frankfurt Book Fair,SP,2000.0,1994
61142865000187,Renner Sayerlack S.A.,940413,Restauração do Solar do Conde de Porto Alegre,RS,12000.0,1994
93514180000100,Tramontina Sul S.A.,940413,Restauração do Solar do Conde de Porto Alegre,RS,12000.0,1994
83842401000116,Livraria alemâ Ltda.,921173,Brasil 94 - Frankfurt Book Fair,SP,600.0,1994
