cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
191,Banco do Brasil S.A,185043, A Hora da Estrela ou O Canto de Macabéa,RJ,390000.0,2022
191,Banco do Brasil S.A,185611,Pixinguinha Como Nunca,RJ,130000.0,2022
191,Banco do Brasil S.A,185640,Sonora: John Williams,RJ,180000.0,2022
191,Banco do Brasil S.A,193167,Pinóquio,RJ,200000.0,2022
191,Banco do Brasil S.A,193702,BORDADOS,RJ,235195.45,2022
191,Banco do Brasil S.A,193747,CINEESPORTE-FESTIVAL DE CINEMA DE ESPORTES,RJ,50000.0,2022
191,Banco do Brasil S.A,200824,PÁ DE CAL,RJ,26000.0,2022
191,Banco do Brasil S.A,201720,O LEGADO DE MORANDI,SP,50000.0,2022
191,Banco do Brasil S.A,210776, Encontros à deriva: Retrospectiva Hong Sang-Soo,RJ,50000.0,2022
191,Banco do Brasil S.A,211101,Mostra Betty Faria - 80 anos,SP,54880.0,2022
191,Banco do Brasil S.A,211555,Festival Assim Vivemos - 10ª Edição,RJ,100000.0,2022
191,Banco do Brasil S.A,212564,Ecos de 1922 - Modernismo no Cinema Brasileiro,RJ,340000.0,2022
191,Banco do Brasil S.A,212624,Programa CCBB Educativo - Ano I,RJ,3500000.0,2022
97626000168,Posto Brasal Ltda,201834,Circuito de Teatro Brasileiro,DF,33723.83,2022
469205000110,SOCIEDADE EDUCACIONAL LEONARDO DA VINCI,201991,5 ª Bienal Brasil do Livro e da Leitura ,DF,250000.0,2022
602086000122,Brasal Corretora de Seguros Ltda,201834,Circuito de Teatro Brasileiro,DF,2883.44,2022
718528000109,Laboratório Sabin Análises Clínicas Ltda.,201191,BRASÍLIA CAPITAL MOTO WEEK 2020,DF,275000.0,2022
718528000109,Laboratório Sabin Análises Clínicas Ltda.,202066,Festival MovA - Movimento Aprático - Edição São Paulo,DF,100000.0,2022
718528000109,Laboratório Sabin Análises Clínicas Ltda.,203467,Brasília Museu Aberto,DF,250000.0,2022
1571702000198,Halex Istar Industria Farmacêutica Ltda.,200014,Horizonte Musical vespertino - 1ª Edição,RS,75573.9,2022
1571702000198,Halex Istar Industria Farmacêutica Ltda.,220069,UM VIOLINO EM MELODIA (GRAVAÇÃO DE CD),MG,48550.0,2022
1612795000151,Brasal Refrigerantes S.A,171116,Ninguém dirá que é tarde demais,SP,160000.0,2022
1612795000151,Brasal Refrigerantes S.A,181279,Brasília em Concerto,DF,191400.0,2022
1612795000151,Brasal Refrigerantes S.A,202708,Bita e a Imaginação que Sumiu,RJ,84000.0,2022
1612795000151,Brasal Refrigerantes S.A,203467,Brasília Museu Aberto,DF,130000.0,2022
1612795000151,Brasal Refrigerantes S.A,204087,GRUPO CORPO 2021,MG,80000.0,2022
1612795000151,Brasal Refrigerantes S.A,220003,29o Festival de Dança - Atualização e Permanência,MG,91000.0,2022
2038232000164,Banco Cooperativo do Brasil S.A,194230,Música Sinfônica para Todos,SP,100000.0,2022
2038232000164,Banco Cooperativo do Brasil S.A,204631,CENTRO CULTURAL EGON SCHADEN,SC,163910.0,2022
2038232000164,Banco Cooperativo do Brasil S.A,212867,Orquestra Villa-Lobos de Porto Velho - Manutenção - plurianual,RO,77985.96,2022
2038232000164,Banco Cooperativo do Brasil S.A,220404,SÃO JOÃO NA NOSSA TRADIÇÃO,SC,296093.0,2022
2038232000164,Banco Cooperativo do Brasil S.A,220946,Vivências Musicais - 2ª Edição ,RJ,4088.57,2022
2038232000164,Banco Cooperativo do Brasil S.A,221124,Uma historia que não se conta: Ernesto e Eu,PR,212773.0,2022
2038232000164,Banco Cooperativo do Brasil S.A,221917,Plano Anual de Atividades da Santa Marcelina Cultura 2023,SP,300000.0,2022
2265823000174,GLOBAL SEGURANCA LTDA,205221,Talentos da Vez 09,RJ,22840.29,2022
2817987000167,COMERCIAL SAO PATRICIO S/A,201991,5 ª Bienal Brasil do Livro e da Leitura ,DF,1869.76,2022
3766873000106,SICOOB SOLUCOES DE PAGAMENTO LTDA.,210105,MENINOS DE PÉ NO CHÃO,GO,104860.7,2022
3766873000106,SICOOB SOLUCOES DE PAGAMENTO LTDA.,212867,Orquestra Villa-Lobos de Porto Velho - Manutenção - plurianual,RO,50000.0,2022
3766873000106,SICOOB SOLUCOES DE PAGAMENTO LTDA.,212917,Plano anual para Manutenção das Atividades do Instituto Ciranda - Música e Cidadania ,MT,117000.0,2022
3989821000190,ACREDITAR ONCOLOGIA S.A,177635,Programação com Acessibilidade Theatro Net Rio,RJ,97000.0,2022
3989821000190,ACREDITAR ONCOLOGIA S.A,185347,Exposição Fla Memória - ANO I,RJ,45000.0,2022
3989821000190,ACREDITAR ONCOLOGIA S.A,204577,Novo Museu do Ipiranga - Implantação da Museografia,SP,82000.0,2022
4066598000172,Corumbá Concessões S.A.,192327,1ª FLOLHOS - Festa Literária de Olhos dÁgua,DF,30000.0,2022
4066598000172,Corumbá Concessões S.A.,203137,CIRCULAÇÃO ESPETÁCULO - CIDADE AVIÃO,DF,150000.0,2022
4066598000172,Corumbá Concessões S.A.,211604,DESMEMORIAS,DF,180000.0,2022
4066598000172,Corumbá Concessões S.A.,211808, FESTA LITERÁRIA DE  PIRENÓPOLIS - FLIPIRI,DF,30000.0,2022
4154059000195,FARMA SERVICE DISTRIBUIDORA LTDA,194256,GARI (Grupo de Amigos Representando Ideias),AM,19000.0,2022
5252008000169,Rio Verde Energia S.A,211395,Encenando,SP,201403.5,2022
5252008000169,Rio Verde Energia S.A,211753,Douradinho 20 anos,RJ,410396.5,2022
6141514000143,COMERCIAL DE ALIMENTOS CERES S/A,201991,5 ª Bienal Brasil do Livro e da Leitura ,DF,8424.75,2022
6141514000143,COMERCIAL DE ALIMENTOS CERES S/A,202066,Festival MovA - Movimento Aprático - Edição São Paulo,DF,10465.11,2022
6234797000178,Expressa Distribuidora de Medicamentos Ltda.,192369,TÁ LIGAD@?,SP,60306.05,2022
6234797000178,Expressa Distribuidora de Medicamentos Ltda.,211037,Cinema no parque,SP,92159.75,2022
6234797000178,Expressa Distribuidora de Medicamentos Ltda.,212712, Plano Bianual 2022/2023 - Viva e Deixe Viver,SP,62462.21,2022
7397614000106,SICOOB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,220946,Vivências Musicais - 2ª Edição ,RJ,36251.84,2022
7676210000143,SIBERIA COMERCIAL DE ALIMENTOS S/A,201991,5 ª Bienal Brasil do Livro e da Leitura ,DF,5142.85,2022
7676210000143,SIBERIA COMERCIAL DE ALIMENTOS S/A,202066,Festival MovA - Movimento Aprático - Edição São Paulo,DF,7294.55,2022
8353829000180,CAPACIDADE FISICA ACADEMIA LTDA - EPP,193111,Feira No Setor,DF,2208.14,2022
8353829000180,CAPACIDADE FISICA ACADEMIA LTDA - EPP,201991,5 ª Bienal Brasil do Livro e da Leitura ,DF,6702.04,2022
8353829000180,CAPACIDADE FISICA ACADEMIA LTDA - EPP,202066,Festival MovA - Movimento Aprático - Edição São Paulo,DF,10007.74,2022
8353835000137,PENINSULA COMERCIAL DE ALIMENTOS LTDA,193111,Feira No Setor,DF,3403.55,2022
8353835000137,PENINSULA COMERCIAL DE ALIMENTOS LTDA,201991,5 ª Bienal Brasil do Livro e da Leitura ,DF,7556.27,2022
8353835000137,PENINSULA COMERCIAL DE ALIMENTOS LTDA,202066,Festival MovA - Movimento Aprático - Edição São Paulo,DF,16501.22,2022
8616988000120,COMERCIAL DE ALIMENTOS SUPERBOM LTDA,177357,"Parabéns, você vai ser papai",DF,3000.0,2022
9348217000161,Sadif Comércio de Veículos Ltda,223299,Restauro e ConservaÃ§Ã£o da Cobertura da Catedral Metropolitana de GoiÃ¢nia,GO,69000.0,2022
11010491000178,TOTAL DISTRIBUIDORA DE ALIMENTOS LTDA,201991,5 ª Bienal Brasil do Livro e da Leitura ,DF,1482.48,2022
11010491000178,TOTAL DISTRIBUIDORA DE ALIMENTOS LTDA,202066,Festival MovA - Movimento Aprático - Edição São Paulo,DF,14904.41,2022
11727257000166,ESTACAO JAPAN COMERCIO DE VEICULOS LTDA,223299,Restauro e ConservaÃ§Ã£o da Cobertura da Catedral Metropolitana de GoiÃ¢nia,GO,71000.0,2022
15758602000180,IN PRESS OFICINA ASSESSORIA DE IMPRENSA E COMUNICACAO LTDA,221038,RIO 2 C,RJ,40000.0,2022
15914528000143,AREAL COMERCIO DE ALIMENTOS S/A,201991,5 ª Bienal Brasil do Livro e da Leitura ,DF,155.62,2022
16551061000187,SICOOB ADMINISTRADORA DE CONSORCIOS LTDA,212653,CAMINHANDO PELA HISTÓRIA DA ARTE,PE,199000.0,2022
16551061000187,SICOOB ADMINISTRADORA DE CONSORCIOS LTDA,220946,Vivências Musicais - 2ª Edição ,RJ,31068.38,2022
16803158000482,"SAGA PARIS COMERCIO DE VEICULOS, PECAS E SERVICOS LTDA",223299,Restauro e ConservaÃ§Ã£o da Cobertura da Catedral Metropolitana de GoiÃ¢nia,GO,6000.0,2022
24209248000125,ANGELICA COMERCIAL DE ALIMENTOS S/A,201991,5 ª Bienal Brasil do Livro e da Leitura ,DF,225.07,2022
24209248000125,ANGELICA COMERCIAL DE ALIMENTOS S/A,202066,Festival MovA - Movimento Aprático - Edição São Paulo,DF,276.11,2022
24893687000108,Voetur Cargas E Enc Ltda.,211042,Conhecendo Santos Dumont,MG,84227.25,2022
26314512000116,SICOOB SEGURADORA DE VIDA E PREVIDENCIA SA,202680,Circo Show,GO,150000.0,2022
26314512000116,SICOOB SEGURADORA DE VIDA E PREVIDENCIA SA,210105,MENINOS DE PÉ NO CHÃO,GO,417.55,2022
26314512000116,SICOOB SEGURADORA DE VIDA E PREVIDENCIA SA,220946,Vivências Musicais - 2ª Edição ,RJ,525487.21,2022
26314512000116,SICOOB SEGURADORA DE VIDA E PREVIDENCIA SA,221640,Programa de Música Jacques Klein - Plano Anual 2023,CE,476896.0,2022
27865757000102,Globo Comunicações e Participações Ltda.,203267,Plano Bianual  Museu do Amanhã 2021-2022,RJ,100000.0,2022
27865757000102,Globo Comunicações e Participações Ltda.,203642, Plano Trianual Paço do Frevo 2021-2023,PE,900000.0,2022
27865757000102,Globo Comunicações e Participações Ltda.,203959, Plano Trianual - Casa da Cultura Paraty 2021/2023,RJ,318000.0,2022
27865757000102,Globo Comunicações e Participações Ltda.,204524, Museu de Arte do Rio - Plano Trianual de 2021/2022/2023,RJ,1000000.0,2022
27865757000102,Globo Comunicações e Participações Ltda.,221675,Plano Anual 2023 - Museu da Língua Portuguesa,SP,487000.0,2022
29525970000192,BRASAL VEICULOS LTDA,201834,Circuito de Teatro Brasileiro,DF,60947.37,2022
32148930000183,ITAPACI COMERCIAL DE ALIMENTOS S/A,201991,5 ª Bienal Brasil do Livro e da Leitura ,DF,1820.39,2022
32148930000183,ITAPACI COMERCIAL DE ALIMENTOS S/A,202066,Festival MovA - Movimento Aprático - Edição São Paulo,DF,5644.88,2022
32899146000107,A10 CONSULTORIA E TECNOLOGIA EM SERVICOS DE INFORMACAO LTDA,212683,Cirurgiões da Alegria Despertando Sorrisos - Programa Anual 2022 - (Evento Virtual/Presencial),SP,11600.0,2022
33163049000114,Dannemann Siemsen Bigler Ipanema Morei,211368, DMX BRASIL (2022) ( Evento Virtual),RJ,200000.0,2022
33660564000100,Agência Especial de Financiamento e Indústira,182314,Reconstrução do Teatro Cultura Artística - Segunda Fase,SP,4100000.0,2022
33660564000100,Agência Especial de Financiamento e Indústira,185151,"Restauração, Conservação e Modernização - Edifício e Acervo do MASP",SP,1654862.41,2022
33660564000100,Agência Especial de Financiamento e Indústira,191227,ESTAÇÃO DO CONHECIMENTO EDUCAÇÃO CULTURA E TURISMO- RESTAURO E ADEQUAÇÃO DA ESTAÇÃO FERROVIÁRIA DE TAUBATÉ,SP,2173459.67,2022
33660564000100,Agência Especial de Financiamento e Indústira,220651,Reforma de imóvel para requalificar o Portomídia,PE,1998014.24,2022
33806397000162,NOVA GLORIA COMERCIAL DE ALIMENTOS S/A,193111,Feira No Setor,DF,4274.06,2022
33806397000162,NOVA GLORIA COMERCIAL DE ALIMENTOS S/A,202066,Festival MovA - Movimento Aprático - Edição São Paulo,DF,4701.79,2022
33826001000149,URUANA COMERCIAL DE ALIMENTOS S/A,193111,Feira No Setor,DF,2887.72,2022
33826001000149,URUANA COMERCIAL DE ALIMENTOS S/A,201991,5 ª Bienal Brasil do Livro e da Leitura ,DF,1746.0,2022
33826001000149,URUANA COMERCIAL DE ALIMENTOS S/A,202066,Festival MovA - Movimento Aprático - Edição São Paulo,DF,7674.75,2022
34020354000110,Caixa Seguradora S/A,192716,RISORAMA,PR,1736533.15,2022
34020354000110,Caixa Seguradora S/A,221303,Risorama ,PR,763466.85,2022
36889641000196,KAIQUE SANTIAGO MATERIAIS PARA CONSTRUCAO EIRELI,194230,Música Sinfônica para Todos,SP,5685.72,2022
38072872000138,Brasal Importados Ltda,220003,29o Festival de Dança - Atualização e Permanência,MG,15120.0,2022
40695417000130,PISELLI BRA RESTAURANTE BAR LTDA,220649,Plano Anual de Atividades do Instituto Hatus 2023,SP,800.0,2022
42278473000103,WIZ SOLUCOES E CORRETAGEM DE SEGUROS S.A,204326,Festival Eu Faço Cultura -  2ª Edição,DF,80000.0,2022
43755402000109,EMPUXO SOCIAL PUBLICIDADE E PROPAGANDA LTDA,200351,Música no Paraíso,SP,870.0,2022
44384832000124,Tomé Engenharia de Transportes,222124,ACERVO MEMÃRIAS - AS GRANDES OBRAS DE ENGENHARIA NO BRASIL - TRANSPORTE E MOVIMENTAÃÃO,SP,35000.0,2022
45070190000151,Cebrace - Cia Brasileira de Cristal,220180,MOCIDADE ALEGRE - CARNAVAL 2022,SP,600000.0,2022
45070190000151,Cebrace - Cia Brasileira de Cristal,221336,Livro O Vidro na Arquitetura (Tï¿½tulo Provisï¿½rio),SP,125000.0,2022
45070190000151,Cebrace - Cia Brasileira de Cristal,221688,Plano Anual de Atividades OSESP 2023,SP,2000000.0,2022
53408860000125,Usina São Luiz S/A,220734,A Estrela de Natal,SP,580000.0,2022
53408860000125,Usina São Luiz S/A,222590,BANDA MUSICAL 2023,SP,205000.0,2022
54612650000117,ESSILOR da Amazônia Industria e Comércio Ltda.,221529,Festival Varilux de Cinema Francês 2023,RJ,293000.0,2022
56139041000118,Urubupungá Transporte e Turismo Ltda.,221845,PROJETO LOCOMOTIVA - PLANO ANUAL 2023,SP,20000.0,2022
