cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
191,Banco do Brasil S.A,117141,CCBB Educativo Belo Horizonte 2013/2014,RJ,331080.0,2015
191,Banco do Brasil S.A,125723,"CCBB Educativo, São Paulo - 2014",RJ,66980.0,2015
191,Banco do Brasil S.A,125968,CCBB Educativo Rio de Janeiro - 2014,RJ,125000.0,2015
191,Banco do Brasil S.A,127433,Cássia Eller - O Musical,RJ,250000.0,2015
191,Banco do Brasil S.A,1310390,Cabeça - Milton Machado,RJ,470000.0,2015
191,Banco do Brasil S.A,1311034,CCBB Educativo DF 2014,RJ,185280.0,2015
191,Banco do Brasil S.A,131320,EXPERIENCIA TUMULTO lll,DF,240000.0,2015
191,Banco do Brasil S.A,131628,Hans Hartung,DF,84070.0,2015
191,Banco do Brasil S.A,131876,Kandinsky,RJ,3000000.0,2015
191,Banco do Brasil S.A,133578,CURTA AO MEIO DIA,DF,120000.0,2015
191,Banco do Brasil S.A,138142,JOAO DONATO - 80 ANOS,DF,50000.0,2015
191,Banco do Brasil S.A,138161,Exposição CICLO,SP,305000.0,2015
191,Banco do Brasil S.A,139570,Invasão Baiana,RJ,281100.0,2015
191,Banco do Brasil S.A,140317,EXPOSIÇÃO AUGUSTO BOAL,RJ,606430.0,2015
191,Banco do Brasil S.A,140638,Concertos  no CCBB de Música Clássica.,SP,200000.0,2015
191,Banco do Brasil S.A,140703,DUAS VEZES UM QUARTO (2 X 1/4),RJ,2363.8,2015
191,Banco do Brasil S.A,1410429,Pequena história da vanguardas,SP,145228.7,2015
191,Banco do Brasil S.A,1410696,Picasso e a modernidade espanhola/ Obras da coleção do Museo Nacional Centro de Arte Reina Sofía,SP,3815000.0,2015
191,Banco do Brasil S.A,1410708,Dinâmicas e percepções,RJ,1050000.0,2015
191,Banco do Brasil S.A,1411185,Percurso da experiência,RJ,1000000.0,2015
191,Banco do Brasil S.A,1411522,MOSTRA DO FILME LIVRE 2015,RJ,395000.0,2015
