cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
191,Banco do Brasil S.A,176544, 1981/2021: Arte Contemporânea Brasileira na Coleção Andrea e José Olympio Pereira,RJ,922000.0,2021
191,Banco do Brasil S.A,185043, A Hora da Estrela ou O Canto de Macabéa,RJ,300000.0,2021
191,Banco do Brasil S.A,185118,Egito antigo: do cotidiano à eternidade,SP,1500000.0,2021
191,Banco do Brasil S.A,185268, Chiharu Shiota / Linhas de vida / Lifelines,SP,100000.0,2021
191,Banco do Brasil S.A,185287,TRIOLOGIA VIAGENS EXTRAORDINÁRIAS,SP,336000.0,2021
191,Banco do Brasil S.A,185640,Sonora: John Williams,RJ,143910.0,2021
191,Banco do Brasil S.A,190118,Montagem e Circulação do espetáculo Neblina,MG,371250.0,2021
191,Banco do Brasil S.A,190710,VAMOS COMPRAR UM POETA,RJ,155900.0,2021
191,Banco do Brasil S.A,191027,Lumière cineasta,RJ,20192.33,2021
191,Banco do Brasil S.A,192160,Fellini: Il Maestro,RJ,133620.02,2021
191,Banco do Brasil S.A,193142,Mel Brooks - Banzé no Cinema,RJ,149989.82,2021
191,Banco do Brasil S.A,193543,IVAN SERPA - A EXPRESSAO DO CONCRETO,RJ,506260.0,2021
191,Banco do Brasil S.A,194194,Do Palais a Paris - 100 Anos dos Oito Batutas,RJ,394988.98,2021
191,Banco do Brasil S.A,200904, Dança em Trânsito,RJ,398999.1,2021
191,Banco do Brasil S.A,201423,2ª Mostra de Cinema Egípcio Contemporâneo,DF,34500.0,2021
191,Banco do Brasil S.A,201720,O LEGADO DE MORANDI,SP,537000.0,2021
191,Banco do Brasil S.A,202317,Steve McQueen - The king of cool,RJ,139400.0,2021
191,Banco do Brasil S.A,203871,Estúdio Hammer - A Fantástica Fábrica de Horror,RJ,361321.36,2021
191,Banco do Brasil S.A,205186, Nise da Silveira - a revolução pelo afeto ,RJ,200000.0,2021
191,Banco do Brasil S.A,210125,2ª Mostra de Cinema Árabe Feminino,MG,155000.0,2021
191,Banco do Brasil S.A,210776, Encontros à deriva: Retrospectiva Hong Sang-Soo,RJ,258930.0,2021
191,Banco do Brasil S.A,211101,Mostra Betty Faria - 80 anos,SP,144970.0,2021
191,Banco do Brasil S.A,211555,Festival Assim Vivemos - 10ª Edição,RJ,253886.0,2021
25841000153,Hospital Santa Lucia - DF,178988,Eón Classic Festival,DF,150000.0,2021
25841000153,Hospital Santa Lucia - DF,184221,Obverso - Volume 1:   A arte e as suas circunstâncias,DF,302192.5,2021
25841000153,Hospital Santa Lucia - DF,185911,Se Liga Juventude!,DF,494675.82,2021
49791000144,HOSPITAL SANTA HELENA S/A,204382,  Plano Bianual de Atividades do MAM 2021 - 2022,SP,236000.0,2021
97626000168,Posto Brasal Ltda,179588,2º Festival MovA  Movimento Aprático,DF,27990.0,2021
511816000180,HOSPITAL PRONTONORTE S/A ,178988,Eón Classic Festival,DF,75000.0,2021
511816000180,HOSPITAL PRONTONORTE S/A ,184221,Obverso - Volume 1:   A arte e as suas circunstâncias,DF,118792.0,2021
511816000180,HOSPITAL PRONTONORTE S/A ,185911,Se Liga Juventude!,DF,314299.39,2021
602086000122,Brasal Corretora de Seguros Ltda,179588,2º Festival MovA  Movimento Aprático,DF,1500.0,2021
718528000109,Laboratório Sabin Análises Clínicas Ltda.,203467,Brasília Museu Aberto,DF,250000.0,2021
1612795000151,Brasal Refrigerantes S.A,178988,Eón Classic Festival,DF,203950.0,2021
1612795000151,Brasal Refrigerantes S.A,181279,Brasília em Concerto,DF,120000.0,2021
1612795000151,Brasal Refrigerantes S.A,203886,Minas Gerais,SP,186705.0,2021
1612795000151,Brasal Refrigerantes S.A,204119,Salva-Vidas,DF,76000.0,2021
1612795000151,Brasal Refrigerantes S.A,204931,Arte nos Trilhos  Homenagem aos 60 Anos de Brasília,DF,99245.74,2021
2038232000164,Banco Cooperativo do Brasil S.A,182290,Vivências Musicais Convida ,RJ,477215.6,2021
2038232000164,Banco Cooperativo do Brasil S.A,212878,Caminhos do Brasil  A cooperação transforma,RJ,1127242.37,2021
