cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
191,Banco do Brasil S.A,80628,Vanguardas Russas,RJ,106067.0,2011
191,Banco do Brasil S.A,86531,Polacas (As),RJ,212841.0,2011
191,Banco do Brasil S.A,86921,Maria Bonomi em Brasília - Da Gravura à Arte Pública ,SP,274600.0,2011
191,Banco do Brasil S.A,90103,A LUA VEM DA ÁSIA,RJ,284904.34,2011
191,Banco do Brasil S.A,90559,PROJETO DE ITINERÂNCIA - SHIRLEY VALENTINE,RJ,105000.0,2011
191,Banco do Brasil S.A,91104,CIRCULAÇÃO DO ESPETÁCULO AQUELES DOIS,MG,16000.0,2011
191,Banco do Brasil S.A,91472,O Inverno da Luz Vermelha,SP,25000.0,2011
191,Banco do Brasil S.A,92738,NA SELVA DAS CIDADES,RJ,350000.0,2011
191,Banco do Brasil S.A,92919,Visitas teatralizadas e Fim de Semana Especial no CCBB-SP,RJ,32000.0,2011
191,Banco do Brasil S.A,93843,Plano Anual de Trabalho da Sociedade Amigos da Cinemateca - 2009,SP,145687.21,2011
191,Banco do Brasil S.A,94517,ISSO É O QUE ELA PENSA,SP,89530.0,2011
191,Banco do Brasil S.A,94607,VOX BRASILIS,SP,37500.0,2011
191,Banco do Brasil S.A,94688,Expedição Langsdorff,RJ,270000.0,2011
191,Banco do Brasil S.A,95725,Cora Coralina Coração do Brasil,RJ,162783.0,2011
191,Banco do Brasil S.A,95765,"CCBB Educativo, Rio de Janeiro - 2010",RJ,130000.0,2011
191,Banco do Brasil S.A,95788,"CCBB Educativo - São Paulo, 2010",RJ,70000.0,2011
191,Banco do Brasil S.A,95828,Companhia Brasileira de Ópera,RJ,500000.0,2011
191,Banco do Brasil S.A,96507,Tarsila do Amaral - Percurso Afetivo,SP,262504.0,2011
191,Banco do Brasil S.A,96584,RADIOGRAFIA CULTURAL: PERIFERIA E UNDERGOUND EM SP,SP,28202.0,2011
191,Banco do Brasil S.A,96677,FILO - Festival Internacional de Londrina 2010,PR,17000.0,2011
191,Banco do Brasil S.A,96959,Projeto Escritores Brasileiros no CCBB RJ/SP,MG,83014.24,2011
191,Banco do Brasil S.A,97171,Sala A Contemporânea,RJ,135550.0,2011
191,Banco do Brasil S.A,97477,"Filha, Mãe, Avó e Puta",RJ,264339.8,2011
191,Banco do Brasil S.A,97602,Projeto Escritores Brasileiros no CCBB Brasília Ano 2,MG,251358.8,2011
191,Banco do Brasil S.A,97658,Festival Internacional de Teatro Palco & Rua de Belo Horizonte - FIT-BH/2010 - 10ª EDIÇÃO,MG,150000.0,2011
191,Banco do Brasil S.A,97747,"O Astronauta - Montagem, Temporada e Turnê",SP,10700.0,2011
191,Banco do Brasil S.A,97795,OS MELHORES FILMES DO ANO 2010 - ACCRJ,RJ,50000.0,2011
191,Banco do Brasil S.A,98151,Mariko Mori,DF,3302031.61,2011
191,Banco do Brasil S.A,98617,Antibodies - Retrospectiva Fernando & Humberto Campana,RJ,889082.0,2011
191,Banco do Brasil S.A,98671,"Riffs, Grooves e Beats CCBB",SP,204652.3,2011
191,Banco do Brasil S.A,98803,O POTE VAZIO,SP,283355.0,2011
191,Banco do Brasil S.A,100006,CRAQUES DO CARTUM NA COPA,SP,16000.0,2011
191,Banco do Brasil S.A,100207,Doze Homens e uma Sentença,RJ,150000.0,2011
191,Banco do Brasil S.A,100354,O Mundo Mágico de Escher,SP,1489654.0,2011
191,Banco do Brasil S.A,100403,COM VOCÊ PERTO DE MIM,RJ,175000.0,2011
191,Banco do Brasil S.A,100507,Cineastas e Imagens do Povo,RJ,42766.67,2011
191,Banco do Brasil S.A,100510,Hou Hsiao-Hsien e o Cinema de Memórias Fragmentadas,RJ,50635.0,2011
191,Banco do Brasil S.A,100544,TEM BOLA NA COLA,RJ,149980.0,2011
191,Banco do Brasil S.A,100647,"NO PRINCÍPIO, ERA A RODA",RJ,24000.0,2011
191,Banco do Brasil S.A,100716,Mostra Reflexos - Duos Quase Gêmeos,RJ,159030.0,2011
191,Banco do Brasil S.A,100841,Ópera do Vivos da Companhia do Latão no Rio de Janeiro,SP,48000.0,2011
191,Banco do Brasil S.A,100940,"FAROESTE SPAGHETTI, O BANGUE-BANGUE À ITALIANA",RJ,32500.0,2011
191,Banco do Brasil S.A,100957,Mostra Estudantil de Teatro V,RJ,7500.0,2011
191,Banco do Brasil S.A,100966,Onomatopéia não é Palavrão - Onomatopéia Musical,RJ,27000.0,2011
191,Banco do Brasil S.A,100975,ACORDES DO RÁDIO: 90 ANOS DO VIOLÃO BRASILEIRO,PE,24400.0,2011
191,Banco do Brasil S.A,101016,Cine Cufa 2010,RJ,21000.0,2011
191,Banco do Brasil S.A,101019,O CINEMA DE OTHON BASTOS,RJ,41340.0,2011
191,Banco do Brasil S.A,1010267,Um outro olhar sobre ele,RJ,100000.0,2011
191,Banco do Brasil S.A,101042,INDIE 2010 - MOSTRA DE CINEMA MUNDIAL,MG,15000.0,2011
