cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
191,Banco do Brasil S.A,104202,A Hora do Poço Ou A Boca do Céu,RJ,7500.0,2014
191,Banco do Brasil S.A,117141,CCBB Educativo Belo Horizonte 2013/2014,RJ,901561.5,2014
191,Banco do Brasil S.A,119363,Projeto Prazer,MG,41464.66,2014
191,Banco do Brasil S.A,1210125,"Guerra e Paz, de Candido Portinari . Itinerância Belo Horizonte e Paris",RJ,2000000.0,2014
191,Banco do Brasil S.A,1210150,Oscar Micheaux: O Cinema Negro e a Segregação Racial,RJ,15000.0,2014
191,Banco do Brasil S.A,122005,MOSTRA INTERNACIONAL DE ROCK PROGRESSIVO,SP,460500.0,2014
191,Banco do Brasil S.A,122272,Festival Moacir Santos,RJ,455000.0,2014
191,Banco do Brasil S.A,125204,DOZE HOMENS E UMA SENTENÇA - Turnê,RJ,349998.0,2014
191,Banco do Brasil S.A,125723,"CCBB Educativo, São Paulo - 2014",RJ,1526320.0,2014
191,Banco do Brasil S.A,125968,CCBB Educativo Rio de Janeiro - 2014,RJ,969000.0,2014
191,Banco do Brasil S.A,127160,Mostra Mondo Tarantino,SP,26000.0,2014
191,Banco do Brasil S.A,127433,Cássia Eller - O Musical,RJ,750000.0,2014
191,Banco do Brasil S.A,127615,Fonchito e a Lua,RJ,400000.0,2014
191,Banco do Brasil S.A,128278,Itinerância Cai Guo Qiang,SP,28600.0,2014
191,Banco do Brasil S.A,128536,Vingança - O Musical - Temporada Paulista,SP,220000.0,2014
191,Banco do Brasil S.A,128552,Concertos de Natal,SP,65000.0,2014
191,Banco do Brasil S.A,128553,RESISTIR É PRECISO,SP,855000.0,2014
191,Banco do Brasil S.A,128740,Tributo a Baden Powell,DF,78750.0,2014
191,Banco do Brasil S.A,128871,Quanto custa? - Duas peças de um ato de Bertolt Brecht,SP,30000.0,2014
191,Banco do Brasil S.A,128877,JANTAR,SP,250000.0,2014
191,Banco do Brasil S.A,128991,"IDEIAS ONLINE 2013/2014 -- Informação, Arte e Cultura Digital",SP,59000.0,2014
191,Banco do Brasil S.A,129046,50 Obras Primas do Renascimento Italiano - Brasília,SP,937000.0,2014
191,Banco do Brasil S.A,129181,Festival Internacional de Teatro de Bonecos 2014,MG,300000.0,2014
191,Banco do Brasil S.A,129330,Todos os Sons - Domingo CCBB 2013,DF,7052.19,2014
191,Banco do Brasil S.A,129389,SELEÇÃO BRASIL EM CENA &#x2013; 6ª EDIÇÃO,RJ,286500.0,2014
191,Banco do Brasil S.A,129404,Fórum Shakespeare,RJ,382150.0,2014
191,Banco do Brasil S.A,129894,FESTIVAL DO RIO 2013,RJ,10000.0,2014
191,Banco do Brasil S.A,129979,Sessão Criança 2013,RJ,56000.0,2014
191,Banco do Brasil S.A,1310120,TRÍPTICO SAMUEL BECKETT,SP,300000.0,2014
191,Banco do Brasil S.A,1310390,Cabeça - Milton Machado,RJ,500000.0,2014
191,Banco do Brasil S.A,1310541,Temporada Brasileira Irmãos de Sangue,RJ,480000.0,2014
