cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
191,Banco do Brasil S.A,77553,Laranja Azul,RJ,10000.0,2012
191,Banco do Brasil S.A,86531,Polacas (As),RJ,23000.0,2012
191,Banco do Brasil S.A,86921,Maria Bonomi em Brasília - Da Gravura à Arte Pública ,SP,97500.0,2012
191,Banco do Brasil S.A,91294,Homenagem a Hélio Silva,RJ,21440.0,2012
191,Banco do Brasil S.A,94517,ISSO É O QUE ELA PENSA,SP,252270.0,2012
191,Banco do Brasil S.A,95725,Cora Coralina Coração do Brasil,RJ,28087.0,2012
191,Banco do Brasil S.A,96507,Tarsila do Amaral - Percurso Afetivo,SP,417516.0,2012
191,Banco do Brasil S.A,97171,Sala A Contemporânea,RJ,61950.0,2012
191,Banco do Brasil S.A,97477,"Filha, Mãe, Avó e Puta",RJ,267743.39,2012
191,Banco do Brasil S.A,97602,Projeto Escritores Brasileiros no CCBB Brasília Ano 2,MG,28000.0,2012
191,Banco do Brasil S.A,97999,"Exposição dos painéis Guerra e Paz, de Candido Portinari",RJ,800000.0,2012
191,Banco do Brasil S.A,98617,Antibodies - Retrospectiva Fernando & Humberto Campana,RJ,643031.84,2012
191,Banco do Brasil S.A,100940,"FAROESTE SPAGHETTI, O BANGUE-BANGUE À ITALIANA",RJ,16000.0,2012
191,Banco do Brasil S.A,101019,O CINEMA DE OTHON BASTOS,RJ,30000.0,2012
191,Banco do Brasil S.A,1010427,Dia da Família,SP,15398.0,2012
191,Banco do Brasil S.A,101079,Cartas de Amor,RJ,147637.0,2012
191,Banco do Brasil S.A,1010989,CLUBE DO CHORO D0 BRASIL,DF,70000.0,2012
191,Banco do Brasil S.A,1011272,Festival Internacional de Jazz - I Love Jazz (3ª edição),MG,175000.0,2012
191,Banco do Brasil S.A,1011787,Mostra Primeiro Olhar - Primeiro Ciclo Internacional de Teatro para Bebês,SP,117403.33,2012
191,Banco do Brasil S.A,1012018,I am a cliché! - Ecos da estética Punk,RJ,114388.21,2012
191,Banco do Brasil S.A,1012479,PROGRAMA EDUCATIVO ARTES VISUAIS 2011,DF,176027.7,2012
191,Banco do Brasil S.A,1012493,GAUCHADA SUL GÊNERIS,RS,108000.0,2012
191,Banco do Brasil S.A,1012805,Flavio de Carvalho - A revolução modernista no Brasil,SP,368770.0,2012
191,Banco do Brasil S.A,101602,CCBB Educativo Rio de Janeiro 2011,RJ,464117.75,2012
191,Banco do Brasil S.A,101667,Tesouros do Islã,RJ,452800.0,2012
191,Banco do Brasil S.A,101810,Fragmentos do desejo,RJ,67000.0,2012
191,Banco do Brasil S.A,101855,MARINA,RJ,45495.0,2012
191,Banco do Brasil S.A,102543,Sessão Criança 2010,RJ,12000.0,2012
191,Banco do Brasil S.A,102660,CCBB Educativo São Paulo 2011,RJ,341386.16,2012
191,Banco do Brasil S.A,103436,Acorde - Aulas-espetáculo e Oficinas - CCBB DF,SP,52200.0,2012
191,Banco do Brasil S.A,103846,CARNAVAL: QUE FESTA É ESSA?,RJ,20335.0,2012
191,Banco do Brasil S.A,103898,Chagall,RJ,105000.0,2012
191,Banco do Brasil S.A,103916,MODÉSTIA - CIRCULAÇÃO,RJ,157705.0,2012
191,Banco do Brasil S.A,104862,A Mecânica das Borboletas,RJ,155000.0,2012
191,Banco do Brasil S.A,105312,Cinema Nacional Legendado e Audiodescrito,RJ,88000.0,2012
191,Banco do Brasil S.A,105513,Radiografia Cultural: Periferia e Arte no DF,SP,28000.0,2012
191,Banco do Brasil S.A,106051,MUDRA - MOSTRA CULTURAL DA ÍNDIA,SC,35000.0,2012
191,Banco do Brasil S.A,106182,SARAU DE IDEIAS - DA SEMANA DE 22 AO MANGUE BEAT,SP,408000.0,2012
191,Banco do Brasil S.A,106348,PROGRAMA DE NATAL,SP,31400.0,2012
191,Banco do Brasil S.A,106350,Humor & Companhia - O Humor na Mídia e nas Artes,SP,20000.0,2012
191,Banco do Brasil S.A,106640,Mostra de Cinema Árabe 2011,MG,16002.2,2012
191,Banco do Brasil S.A,108584,Queremos Miles,RJ,240000.0,2012
191,Banco do Brasil S.A,108651,Farsa da Boa Preguiça (Circulação),RJ,7000.0,2012
191,Banco do Brasil S.A,110433,JT Leroy,RJ,270143.0,2012
191,Banco do Brasil S.A,110679,O Espelho,DF,313271.6,2012
191,Banco do Brasil S.A,110883,ÍNDIA - da Antiguidade a Atualidade,SP,1401422.01,2012
191,Banco do Brasil S.A,110904,BREU,RJ,205123.0,2012
191,Banco do Brasil S.A,110910,Hungaria! As Múltiplas Faces de Franz Liszt,RJ,15000.0,2012
191,Banco do Brasil S.A,110946,Festival Panorama - 20 anos,RJ,55000.0,2012
191,Banco do Brasil S.A,111041,"CCBB - VESTIDO DE NELSON RODRIGUES - A HISTÓRIA DO TEATRO BRASILEIRO - TEATRO, EXPOSIÇAO, SEMINÁRIO E MOSTRA",RJ,332033.0,2012
191,Banco do Brasil S.A,111063,Assim Vivemos,RJ,44000.0,2012
191,Banco do Brasil S.A,1110692,Bhava: Universo do Cinema Indiano,DF,258029.0,2012
191,Banco do Brasil S.A,1110749,A ÓPERA NA LITERATURA: UMA INÚTIL PRECAUÇÃO!,RJ,37700.0,2012
191,Banco do Brasil S.A,1111057,Simplesmente Inédito,RJ,108000.0,2012
191,Banco do Brasil S.A,1111311,Eternos Modernos,RJ,96000.0,2012
191,Banco do Brasil S.A,1111404,Contos de Areia - 70 anos de Clara Nunes,RJ,570905.0,2012
