cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
191,Banco do Brasil S.A,42204,Dois Maior de Grande,SP,68720.0,2009
191,Banco do Brasil S.A,610480,Modinhas e Choros - Uma Canção Brasileira,SP,47015.0,2009
191,Banco do Brasil S.A,610516,"Assim Vivemos - Festival Internacional de Filmes Sobre Deficiência  
",RJ,3360.97,2009
191,Banco do Brasil S.A,611428,Nu de Mim Mesmo,RJ,57368.0,2009
191,Banco do Brasil S.A,61876,Renato Russo - A Peça (Título Provisório),RJ,198161.96,2009
191,Banco do Brasil S.A,62099,Bossa Nova In Concert,RJ,33731.7,2009
191,Banco do Brasil S.A,63950,Pelo Amor de Deus!,RJ,36340.0,2009
191,Banco do Brasil S.A,64337,Os Gêmeos,SP,682000.0,2009
191,Banco do Brasil S.A,68021,Ribeirão Preto vai ao Cinema 2007 ,SP,100000.0,2009
191,Banco do Brasil S.A,68631,Exposição Serra da Canastra,SP,255850.0,2009
191,Banco do Brasil S.A,69847,Galeria dos Valores-CCBB-RJ,RJ,91400.0,2009
191,Banco do Brasil S.A,70314,Nenê Bonet,RJ,27000.0,2009
191,Banco do Brasil S.A,70780,Contos Clássicos,RJ,160000.0,2009
191,Banco do Brasil S.A,710034,Cinema Nacional Legendado e Áudio-Descrito,RJ,250000.0,2009
191,Banco do Brasil S.A,710045,Manutenção 2009 - Armazém Companhia de Teatro,RJ,91480.0,2009
191,Banco do Brasil S.A,711143,Sessão Criança 2008 ,RJ,14851.0,2009
191,Banco do Brasil S.A,711387,Dia da Família,SP,98900.0,2009
191,Banco do Brasil S.A,711753,Temporada 2009 da Camerata Florianópolis,RS,87115.0,2009
191,Banco do Brasil S.A,711935,Oriente Desconhecido,RJ,27762.82,2009
191,Banco do Brasil S.A,711993,Martinho José Ferreira - 70 Anos de Brasilidade,RJ,111710.93,2009
191,Banco do Brasil S.A,712116,Programa Educativo Centro Cultural Banco do Brasil - Rio de Janeiro - 2008,RJ,285019.0,2009
191,Banco do Brasil S.A,71621,"Ês Quis Q' Eu Isse Co Ês - Criação, Produção e Circulação.",MG,43672.0,2009
191,Banco do Brasil S.A,71869,Festival Internacional de Animação do Brasil - Anima Mundi 2007/2008,RJ,40371.91,2009
191,Banco do Brasil S.A,71987,Um Dia (Quase) Igual aos Outros,SP,140000.0,2009
191,Banco do Brasil S.A,72612,Garaicoa,RJ,410041.0,2009
191,Banco do Brasil S.A,72742,Festival Internacional de Cultura Popular - Vozes de Mestres,MG,1285000.0,2009
191,Banco do Brasil S.A,73116,Exposição de Eder Santos no Masp e Itinerância,MG,307338.0,2009
191,Banco do Brasil S.A,73740,Santa Maria do Circo,RJ,200000.0,2009
191,Banco do Brasil S.A,75556,Toda Palavra é música,RJ,177335.0,2009
191,Banco do Brasil S.A,75764,Relendo o Choro,RJ,53652.6,2009
191,Banco do Brasil S.A,76040,"Memórias Reveladas:Projeto de Organização, Preservação e Difusão de Acervos Públicos/Privados Referentes às Lutas Políticas no Brasil (1964-1985) Fase I",RJ,150834.27,2009
191,Banco do Brasil S.A,76733,Medida por Medida,RJ,420276.95,2009
191,Banco do Brasil S.A,76780,Quasar Cia de Dança - Amigos,GO,30874.0,2009
191,Banco do Brasil S.A,77553,Laranja Azul,RJ,240000.0,2009
191,Banco do Brasil S.A,77554,Estrangeiro (O),SP,22500.0,2009
191,Banco do Brasil S.A,77608,Exposição Clarice Lispector a Hora da Estrela,SP,87000.0,2009
191,Banco do Brasil S.A,77820,"Um Papo com Bossa, Roberto Menescal, 70 Anos",RJ,73514.71,2009
191,Banco do Brasil S.A,78561,Tom Jobim - Maestro Brasileiro,DF,252000.0,2009
191,Banco do Brasil S.A,78845,Festival Ibero - Americano de Cinema - Cine Ceará (18º)  ,CE,15000.0,2009
191,Banco do Brasil S.A,79089,É Tradição e o Samba Continua,SP,106757.2,2009
191,Banco do Brasil S.A,79772,Painel de Controle: Vídeo e Vigilância Social,RJ,9750.0,2009
191,Banco do Brasil S.A,80063,Phusion - Edição SP,RJ,169874.0,2009
191,Banco do Brasil S.A,80247,Fedegunda,RJ,150000.0,2009
191,Banco do Brasil S.A,80401,Contos Clássicos 2008,RJ,42770.35,2009
191,Banco do Brasil S.A,80403,Outros Silverinos Remix,SP,158500.0,2009
191,Banco do Brasil S.A,80443,Mostra Alain Resnais A Revolução Discreta da Memória,RJ,8542.88,2009
191,Banco do Brasil S.A,80628,Vanguardas Russas,RJ,2814647.11,2009
191,Banco do Brasil S.A,80778,Muitas Vidas de Robert Altman (As) ,RJ,31500.0,2009
191,Banco do Brasil S.A,80874,Mostra de Cinema Curtas Premiados (EX: Mostra de Cinema Curtas Premiados em 2007) ,DF,23478.36,2009
191,Banco do Brasil S.A,80921,Festival Nordeste,RJ,25000.0,2009
191,Banco do Brasil S.A,810033,Corpo em Aberto - SP,RJ,120000.0,2009
191,Banco do Brasil S.A,810035,Cinesul 2009 Festival Ibero Americano de Cinema e Vídeo,RJ,90000.0,2009
191,Banco do Brasil S.A,810175,Argentina Hoy,RJ,828607.94,2009
191,Banco do Brasil S.A,810198,Era Uma Vez: Arte Conta Histórias Do Mundo,SP,645332.0,2009
191,Banco do Brasil S.A,810279,Retrospectiva Chris Marker,SP,255000.0,2009
191,Banco do Brasil S.A,810387,Programa Educativo Artes Visuais 2009,DF,400000.0,2009
191,Banco do Brasil S.A,810592,Mistério Bufo,RJ,300000.0,2009
191,Banco do Brasil S.A,810670,Piedade,SP,73126.8,2009
191,Banco do Brasil S.A,810761,Hamelin,RJ,36000.0,2009
191,Banco do Brasil S.A,81090,Cacaso - Música e poesia,DF,400000.0,2009
191,Banco do Brasil S.A,81347,José Dumont  Homem Que Virou Cinema (O) ,RJ,149500.0,2009
191,Banco do Brasil S.A,82091,"É Samba na Veia, É Candeia",RJ,38000.0,2009
