cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
191,Banco do Brasil S.A,97943,OPERILDA NA ORQUESTRA AMAZÔNICA,SP,170000.0,2013
191,Banco do Brasil S.A,97999,"Exposição dos painéis Guerra e Paz, de Candido Portinari",RJ,200000.0,2013
191,Banco do Brasil S.A,101667,Tesouros do Islã,RJ,146556.34,2013
191,Banco do Brasil S.A,103342,Seleção Brasil em Cena 2010,RJ,28000.0,2013
191,Banco do Brasil S.A,104202,A Hora do Poço Ou A Boca do Céu,RJ,42500.0,2013
191,Banco do Brasil S.A,106182,SARAU DE IDEIAS - DA SEMANA DE 22 AO MANGUE BEAT,SP,22000.0,2013
191,Banco do Brasil S.A,110557,FELINDA - Carroça de Mamulengos,RJ,12000.0,2013
191,Banco do Brasil S.A,110799,O JARDIM SECRETO,RJ,50000.0,2013
191,Banco do Brasil S.A,110883,ÍNDIA - da Antiguidade a Atualidade,SP,441898.33,2013
191,Banco do Brasil S.A,111041,"CCBB - VESTIDO DE NELSON RODRIGUES - A HISTÓRIA DO TEATRO BRASILEIRO - TEATRO, EXPOSIÇAO, SEMINÁRIO E MOSTRA",RJ,89798.53,2013
191,Banco do Brasil S.A,1111464,SELEÇÃO BRASIL EM CENA - 5ª Edição,RJ,184000.0,2013
191,Banco do Brasil S.A,1111638,EXPOSIÇÃO ANTONY GORMLEY,SP,332920.0,2013
191,Banco do Brasil S.A,1111808,IDEIAS ONLINE -- Arte Contemporânea e Cultura Digital,SP,89000.0,2013
191,Banco do Brasil S.A,1111951,Exposição - Cai Guo Quian,SP,1878831.48,2013
191,Banco do Brasil S.A,1111974,CINEMA FRANCO-ÁRABE,RJ,11188.0,2013
191,Banco do Brasil S.A,1113146,ISSO É O QUE ELA PENSA - TURNE,SP,225356.0,2013
191,Banco do Brasil S.A,1113510,Festival do Rio 2012,RJ,10500.0,2013
191,Banco do Brasil S.A,1114806,Abel Ferrara: a religião da intensidade,RJ,6448.52,2013
191,Banco do Brasil S.A,111858,"Odete Lara, Atriz de Cinema",RJ,12983.7,2013
191,Banco do Brasil S.A,112527,Projeto Música no Museu - Sul/Sudeste VIII,RJ,15000.0,2013
191,Banco do Brasil S.A,112769,Esta Criança,RJ,150000.0,2013
191,Banco do Brasil S.A,113637,Sala A Contemporânea / Brasil â&#x20AC; 2ª Edição â&#x20AC; CCBB RJ,RJ,300000.0,2013
191,Banco do Brasil S.A,114311,CCBB Educativo São Paulo 2012,RJ,385100.0,2013
191,Banco do Brasil S.A,114390,CCBB Educativo Rio de Janeiro 2012,RJ,734960.0,2013
191,Banco do Brasil S.A,117141,CCBB Educativo Belo Horizonte 2013/2014,RJ,305763.25,2013
191,Banco do Brasil S.A,119363,Projeto Prazer,MG,408095.83,2013
191,Banco do Brasil S.A,119450,MEU CARO AMIGO CHICO BUARQUE,DF,43750.0,2013
191,Banco do Brasil S.A,120601,Dramaturgias Urgentes,SP,35000.0,2013
191,Banco do Brasil S.A,120873,Jukebox - Uma Ficção Científica Musical,RJ,555476.12,2013
191,Banco do Brasil S.A,1210039,Projeto Espaço Entre,DF,330000.0,2013
191,Banco do Brasil S.A,1210150,Oscar Micheaux: O Cinema Negro e a Segregação Racial,RJ,287000.0,2013
191,Banco do Brasil S.A,1210164,Geração Praça Moscou - O Cinema Húngaro Contemporâneo,RJ,237000.0,2013
191,Banco do Brasil S.A,1210242,Alvin Ailey,SP,795000.0,2013
191,Banco do Brasil S.A,121362,Pernambuco Contemporâneo,PE,143274.0,2013
191,Banco do Brasil S.A,121855,PROGRAMA EDUCATIVO ARTES VISUAIS 2012 - 2013 - CENTRO CULTURAL BANCO DO BRASIL - BRASÍLIA,DF,219586.4,2013
191,Banco do Brasil S.A,121866,Exposição Paris: Impressionismo e modernidade,SP,263000.0,2013
191,Banco do Brasil S.A,121889,Planos de fuga - Uma exposição em obras,SP,147000.0,2013
191,Banco do Brasil S.A,122080,Brasil a 4,PR,20000.0,2013
191,Banco do Brasil S.A,123757,Estreia da nova peça do grupo espanca! dirigida por Daniel Veronese e temporada da peça Amores Surdos no CCBB Rio de Janeiro.,MG,171960.0,2013
191,Banco do Brasil S.A,123779,Festival Panorama 2012,RJ,40000.0,2013
191,Banco do Brasil S.A,124195,Sai da Rede II  - o som que vem da web,RJ,139630.0,2013
191,Banco do Brasil S.A,125717,Sessão Criança - 2ª etapa 2012,RJ,21000.0,2013
191,Banco do Brasil S.A,125723,"CCBB Educativo, São Paulo - 2014",RJ,700000.0,2013
191,Banco do Brasil S.A,125968,CCBB Educativo Rio de Janeiro - 2014,RJ,832000.0,2013
191,Banco do Brasil S.A,126807,Esta Criança - Temporada Brasíla,RJ,226700.0,2013
191,Banco do Brasil S.A,126836,Plano Anual de Atividades Osesp 2013,SP,1000000.0,2013
191,Banco do Brasil S.A,126847,IV SEMANA DOS REALIZADORES,SP,17850.0,2013
191,Banco do Brasil S.A,127010,Repertório  Caixa do Elefante,RS,183537.0,2013
191,Banco do Brasil S.A,127011,Festival Literário,RJ,14295.0,2013
191,Banco do Brasil S.A,127145,Na palma da minha mão,RJ,8205.0,2013
191,Banco do Brasil S.A,127160,Mostra Mondo Tarantino,SP,219925.0,2013
191,Banco do Brasil S.A,127647,É TUDO VERDADE - 18º FESTIVAL INTERNACIONAL DE DOCUMENTÁRIOS,SP,285000.0,2013
191,Banco do Brasil S.A,127951,PLANO ANUAL DO INSTITUTO TOMIE OHTAKE - 2013,SP,1820000.0,2013
191,Banco do Brasil S.A,128080,Watch Me Move - O Show da Animação,RJ,1857530.0,2013
191,Banco do Brasil S.A,128086,Ocupação do CCBB,SP,137920.0,2013
191,Banco do Brasil S.A,128278,Itinerância Cai Guo Qiang,SP,2006768.52,2013
191,Banco do Brasil S.A,128530,SONATA - SUA EVOLUÇÃO EM QUATRO SÉCULOS,SP,152465.0,2013
191,Banco do Brasil S.A,128536,Vingança - O Musical - Temporada Paulista,SP,350000.0,2013
191,Banco do Brasil S.A,128552,Concertos de Natal,SP,35000.0,2013
191,Banco do Brasil S.A,128553,RESISTIR É PRECISO,SP,945000.0,2013
191,Banco do Brasil S.A,128653,"Samuel Fuller: Se você morrer, eu te mato !",RJ,384927.0,2013
191,Banco do Brasil S.A,128655,Os Melhores Filmes do Ano 2012,RJ,80000.0,2013
191,Banco do Brasil S.A,128740,Tributo a Baden Powell,DF,341250.0,2013
191,Banco do Brasil S.A,128871,Quanto custa? - Duas peças de um ato de Bertolt Brecht,SP,280000.0,2013
191,Banco do Brasil S.A,128945,Elles: Mulheres Artistas na Coleção do Centre Georges Pompidou,SP,2704858.52,2013
191,Banco do Brasil S.A,128991,"IDEIAS ONLINE 2013/2014 -- Informação, Arte e Cultura Digital",SP,241000.0,2013
191,Banco do Brasil S.A,129046,50 Obras Primas do Renascimento Italiano - Brasília,SP,870500.0,2013
191,Banco do Brasil S.A,129047,50 Obras Primas do Renascimento Italiano  - São Paulo,SP,1807500.0,2013
191,Banco do Brasil S.A,129061,O CINEMA DE JONAS MEKAS,SP,155000.0,2013
191,Banco do Brasil S.A,129099,Aos Nossos Filhos,RJ,265000.0,2013
191,Banco do Brasil S.A,129142,Ernesto Nazareth 150 Anos Depois,RJ,383345.0,2013
191,Banco do Brasil S.A,129191,Udi Grudi e Orquestra em ConSerto,DF,242400.0,2013
191,Banco do Brasil S.A,129330,Todos os Sons - Domingo CCBB 2013,DF,400000.0,2013
191,Banco do Brasil S.A,129345,Abraham Palatnik,SP,884650.0,2013
191,Banco do Brasil S.A,129389,SELEÇÃO BRASIL EM CENA &#x2013; 6ª EDIÇÃO,RJ,333500.0,2013
191,Banco do Brasil S.A,129586,Intercâmbio Cultural - Translunar Paradise,RS,630820.0,2013
191,Banco do Brasil S.A,129671,12a. Mostra do Filme Livre - MFL 2013,RJ,288150.0,2013
191,Banco do Brasil S.A,129757,Cinesul 2013 - Festival Ibero-Americano de Cinema e Vídeo / 20 Anos!,RJ,90000.0,2013
191,Banco do Brasil S.A,129894,FESTIVAL DO RIO 2013,RJ,50000.0,2013
191,Banco do Brasil S.A,129979,Sessão Criança 2013,RJ,84000.0,2013
191,Banco do Brasil S.A,130603,Admirável Música Nova,RJ,140000.0,2013
191,Banco do Brasil S.A,131011,"INVENTÁRIOS, HISTÓRIAS QUE GUARDEI PARA VOCÊ",DF,60000.0,2013
191,Banco do Brasil S.A,131145,Alexander Sokurov - Poeta visual,RJ,394000.0,2013
191,Banco do Brasil S.A,131290,Futebol.BR -- O Futebol  no Brasil,SP,170000.0,2013
191,Banco do Brasil S.A,131482,Toca Raul!,RJ,897330.0,2013
191,Banco do Brasil S.A,131547,A Propósito de Senhorita Júlia - Temporada SP,RJ,250000.0,2013
191,Banco do Brasil S.A,131654,Festival Panorama 2013,RJ,51000.0,2013
191,Banco do Brasil S.A,131815,MÚLTIPLOS E CONTEMPORÂNEOS: A LITERATURA.COM,RJ,115000.0,2013
191,Banco do Brasil S.A,131846,Amilcar de Castro: Repetição e Síntese,RJ,668000.0,2013
191,Banco do Brasil S.A,132012,II Cena Brasil Internacional,RJ,800000.0,2013
191,Banco do Brasil S.A,132104,O Programa Educativo de Artes Visuais 2013-2014 Centro Cultural Banco do Brasil - DF,DF,396000.0,2013
191,Banco do Brasil S.A,132229,Alfred Hitchcock,RJ,280000.0,2013
191,Banco do Brasil S.A,132263,BRASIL VOCAL 2013,RJ,350000.0,2013
191,Banco do Brasil S.A,132440,BRASIL TELA PARA TODOS - PERSPECTIVAS CONTEMPORÂNEAS,SP,162500.0,2013
191,Banco do Brasil S.A,132441,O Cinema de Jacques Rivette,SP,282500.0,2013
191,Banco do Brasil S.A,132596,Clássicos do Latão,SP,150000.0,2013
191,Banco do Brasil S.A,132673,Fernando Sabino 90 Anos &#x2013; Exposição de Artes Multimídia,MG,288710.0,2013
191,Banco do Brasil S.A,132899,EU NÃO DAVA PRAQUILO,SP,290000.0,2013
191,Banco do Brasil S.A,132987,QUENTIN TARANTINO,RJ,120000.0,2013
191,Banco do Brasil S.A,132998,EDUKATORS BRASÍLIA,RJ,200000.0,2013
191,Banco do Brasil S.A,133350,A OUTRA CIDADE,RJ,80000.0,2013
191,Banco do Brasil S.A,133511,Contrações,SP,453750.0,2013
191,Banco do Brasil S.A,133558,Escola de Berlim,RJ,186985.0,2013
191,Banco do Brasil S.A,133586,PEDRO E O CAPITÃO,SP,170000.0,2013
191,Banco do Brasil S.A,133627,8ª Mostra Mundo Árabe,SP,100000.0,2013
191,Banco do Brasil S.A,133646,RENASCIMENTO-VARIAÇÕES SOBRE O MESMO TEMA,SP,170156.0,2013
191,Banco do Brasil S.A,133687,Festival Assim Vivemos,RJ,251645.0,2013
191,Banco do Brasil S.A,133690,Festival Internacional Tango Brasil,RJ,375000.0,2013
191,Banco do Brasil S.A,133746,O cinema de Rithy Panh,SP,191000.0,2013
191,Banco do Brasil S.A,134715,"Vinicius, o poeta do encontro",RJ,150000.0,2013
191,Banco do Brasil S.A,134977,CIRCUITO DE MODA E ARTE - 8a EDIÇÃO | MOSTRA CINEMA DE MODA E CICLO DE DEBATES,SP,93500.0,2013
191,Banco do Brasil S.A,136925,Festival CCBB de Musica Infantil Brasileira,RJ,320000.0,2013
191,Banco do Brasil S.A,137372,"Musas, Nova Geração",SP,107000.0,2013
191,Banco do Brasil S.A,137601,Coleção Ludwig,RJ,200000.0,2013
191,Banco do Brasil S.A,137936,Reveillon na Paulista - 2013,SP,500000.0,2013
191,Banco do Brasil S.A,137999,O Cinema de Maurice Pialat,SP,36000.0,2013
208000100,BRB - Banco de Brasília S.A.,101513,Festival de Música Candango Cantador - 2ª Edição,DF,95000.0,2013
208000100,BRB - Banco de Brasília S.A.,119450,MEU CARO AMIGO CHICO BUARQUE,DF,100000.0,2013
208000100,BRB - Banco de Brasília S.A.,131748,46o. FESTIVAL DE BRASÍLIA DO CINEMA BRASILEIRO,DF,200000.0,2013
57240000122,Cimento Planalto S/A.,79255,Execução de obras de restauração e serviços emergenciais na Matriz de Nossa Senhora do Patrocínio - Jaú - SP,SP,560000.0,2013
57240000122,Cimento Planalto S/A.,127982,Teatro Mãe de Deus,PR,50000.0,2013
57240000122,Cimento Planalto S/A.,132189,Flores em vida,DF,100000.0,2013
