cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
191,Banco do Brasil S.A,177068,Musicar - Festival de Música Infantil,RJ,950000.0,2020
191,Banco do Brasil S.A,178901,Macunaíma,RJ,106430.0,2020
191,Banco do Brasil S.A,182728, Björk Digital,SP,1352470.0,2020
191,Banco do Brasil S.A,184090,Madrugada no Centro - 2019 / 2020,RJ,315000.0,2020
191,Banco do Brasil S.A,184561,Programa CCBB Educativo - Arte e Educação Ano II,MG,2700000.0,2020
191,Banco do Brasil S.A,185032,VAIVEM,SP,1240000.0,2020
191,Banco do Brasil S.A,185043, A Hora da Estrela ou O Canto de Macabéa,RJ,300000.0,2020
191,Banco do Brasil S.A,185118,Egito antigo: do cotidiano à eternidade,SP,2347149.0,2020
191,Banco do Brasil S.A,185268, Chiharu Shiota / Linhas de vida / Lifelines,SP,1600000.0,2020
191,Banco do Brasil S.A,185287,TRIOLOGIA VIAGENS EXTRAORDINÁRIAS,SP,84000.0,2020
191,Banco do Brasil S.A,190118,Montagem e Circulação do espetáculo Neblina,MG,367000.0,2020
191,Banco do Brasil S.A,190684,MOSTRA STUDIO GHIBLI - LEGADO E FUTURO,DF,60503.33,2020
191,Banco do Brasil S.A,190685,STEPHEN KING:  O MEDO É SEU MELHOR COMPANHEIRO,RJ,27493.4,2020
191,Banco do Brasil S.A,190702,MAN RAY em PARIS,RJ,850000.0,2020
191,Banco do Brasil S.A,190710,VAMOS COMPRAR UM POETA,RJ,289305.0,2020
191,Banco do Brasil S.A,190869,Festival Musimagem - V Encontro de Trilhas Sonoras,RJ,159152.0,2020
191,Banco do Brasil S.A,191027,Lumière cineasta,RJ,379587.67,2020
191,Banco do Brasil S.A,191120,POTEIRO - O POPULAR E O PÚBLICO,GO,182944.0,2020
191,Banco do Brasil S.A,191307,Festival Assim Vivemos - 9ª edição - SP e DF,RJ,47659.72,2020
191,Banco do Brasil S.A,191952," Turnê Brasilia, BH e SP - Por que não vivemos?",PR,250000.0,2020
191,Banco do Brasil S.A,192160,Fellini: Il Maestro,RJ,265866.33,2020
191,Banco do Brasil S.A,192563,Francesco - temporada BH,SP,22925.0,2020
191,Banco do Brasil S.A,192635,Guimbaustrilho - O Rio sobre Trilhos,RJ,41000.0,2020
191,Banco do Brasil S.A,193142,Mel Brooks - Banzé no Cinema,RJ,227096.13,2020
191,Banco do Brasil S.A,193167,Pinóquio,RJ,200000.0,2020
191,Banco do Brasil S.A,193224,GUINGA E AS VOZES FEMININAS,RJ,785670.0,2020
