cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
208000100,BRB - Banco de Brasília S.A.,950169,Enxada(A),RJ,70000.0,1995
208000100,BRB - Banco de Brasília S.A.,950179,Cego que Gritava Luz(O),SP,75000.0,1995
37226000167,Sociedade de Abastecimento de Brasília,950179,Cego que Gritava Luz(O),SP,11673.03,1995
336701000104,Telecomunicações Brasileiras S/A -Telebrás,950133,Conversas Brasileiras (Ex-alma Sem Besouro Não Escuta Zum-Zum-Zum),DF,165000.0,1995
336701000104,Telecomunicações Brasileiras S/A -Telebrás,950940,Festival da Canção Popular do Maranhão,MA,50000.0,1995
1527274000449,Transportes Goiasil LTDA,950179,Cego que Gritava Luz(O),SP,6000.0,1995
26489112000494,Cebral Comércio Exibições Brasília LTDA,950179,Cego que Gritava Luz(O),SP,1800.0,1995
72576887000171,Eduard Bitencourt Filhos LTDA,950179,Cego que Gritava Luz(O),SP,953.57,1995
757930000194,"Sindicato dos Hotéis, Bares, Restaurantes e Similares",950487,Dossiê de Goiás  um perfil do Estado e seus Municípios,GO,500.0,1995
7209299000138,EDITORA VERDES MARES LTDA,950435,Projeto Ópera Aída  ,BA,40000.0,1995
35000991000197,Barbras Distribuidora de Alimentos Ltda,950435,Projeto Ópera Aída  ,BA,4500.0,1995
16670085000155,Localiza Rent a Car S/A,950435,Projeto Ópera Aída  ,BA,110000.0,1995
17157850000109,Usinas Siderúrgicas de Minas Gerais S/A - USIMINAS,951020,Museu Histórico Abilio Barreto Restauração da Casa Sede e Construção do Prédio Anexo,MG,96500.0,1995
19140342000135,Perfil Promoções e Publicidade Ltda,950435,Projeto Ópera Aída  ,BA,50000.0,1995
19791136000195,Aymoré Produtos Alimentícios,920160,Guarani (0),RJ,200000.0,1995
33756610000179,Rádio Globo Capital Ltda,950435,Projeto Ópera Aída  ,BA,46250.0,1995
35828763000100,Concal Carbureto de Cálcio Ltda.,940018,História da Vida Privada Brasileira,SP,102306.0,1995
