cpf_cnpj,incentivador,nro_projeto,nome_projeto,uf_projeto,valor_incentivo,ano
2043201000100,COZIMAX MÓVEIS MIRASSOL LTDA,221192,Superações (Ano 2),SP,48000.0,2022
2043201000100,COZIMAX MÓVEIS MIRASSOL LTDA,191847,É NÓIS NA FITA - CURSO GRATUITO DE CINEMA 2020,SP,18000.0,2020
2043201000100,COZIMAX MÓVEIS MIRASSOL LTDA,190965,O CASO MARTIN PICHE,RJ,36000.0,2021
2043201000100,COZIMAX MÓVEIS MIRASSOL LTDA,211747,É NÓIS NA FITA - CURSO GRATUITO DE CINEMA 2022,SP,36000.0,2021
2043201000100,COZIMAX MÓVEIS MIRASSOL LTDA,184336,Atos e Palhaços ArteClownizAção,SP,8000.0,2019
17543049000193,UOL CURSOS,183598,CIRCO DOS SONHOS - TURNÊ 1,SP,40000.0,2019
